Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
27.76,0.045501990820107266,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.85,0.039135514018691586,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.95,0.036996073660343985,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.05,0.03656749433169277,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.15,0.03296604545705913,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.25,0.0327241055134657,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.35,0.030100785267931186,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.45,0.029319664878615287,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.55,0.02739105789968479,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.65,0.027028147984294617,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.75,0.024325333185865185,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.84,0.026240115025161756,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
28.94,0.025279267820604988,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.04,0.02581499198141902,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.14,0.024975114748658947,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.24,0.027463639882762795,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.34,0.02912611292374054,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.44,0.0313001161311729,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.54,0.03314577227229995,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.63,0.03768733064203947,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.73,0.04061826024442846,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.83,0.04466211358734724,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
29.93,0.04784189570314657,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
