type,day,gene,A,B
total,day 5,CDK9,-0.24249,-0.62172
grna,day 13,MRPL50,-2.0912,0.02171
total,day 13,EXOSC6,-0.60813,-2.9209
grna,day 21,MRPL51,-1.9719,-0.44926
total,day 5,HTATSF1,-0.65585,-0.19487
grna,day 13,SF3B4,-0.30598,-2.5884
total,day 13,MRPL51,-1.7209,-3.4179
grna,day 21,EIF1AD,-3.256,-0.047778
grna,day 13,ATP2A2,-2.5394,-1.3292
grna,day 21,ZC3H18,0.051219,-1.3311
grna,day 5,COA6,-0.058846,-1.0004
total,day 5,MRPL1,-0.099933,-0.53734
grna,day 13,GPKOW,-1.5896,-0.67893
total,day 13,ELP3,-2.0086,-2.7612
grna,day 21,PRDX1,-0.94927,0.094207
total,day 21,CPSF2,-2.0848,-2.0833
total,day 5,CCDC9,-0.034961,-0.36051
grna,day 13,NMT1,-0.64496,-1.7129
total,day 13,SON,-2.6193,-2.9052
total,day 21,MRPL47,-2.962,-0.74206
grna,day 5,WDR75,-0.58118,0.52453
total,day 5,HMGB2,-0.33874,-0.054405
grna,day 13,RACK1,-1.4044,-0.65605
total,day 5,MRPL49,-0.51404,-0.012705
total,day 13,RPF1,-3.4235,-2.2763
grna,day 21,EIF3E,-0.96202,-1.1822
total,day 21,NOL9,-3.2951,-3.1692
grna,day 5,DDX60,0.43234,-0.17617
grna,day 13,FIP1L1,-0.50075,-1.6919
total,day 13,EARS2,-0.50891,-1.9515
total,day 21,CCT2,-3.3104,-3.6756
grna,day 5,GTF2E2,-0.17114,-0.91517
total,day 5,SRRT,-0.86856,0.026187
total,day 13,ELP4,-1.5349,-1.0824
total,day 21,TARS1,-3.7427,-1.2722
grna,day 5,STX7,-1.1519,-0.047982
total,day 5,BTF3,0.016422,-0.50414
grna,day 21,LLPH,-0.8111,-1.7451
total,day 21,MRPL22,-3.333,-3.2011
grna,day 5,MRPL37,0.0095623,-0.63018
total,day 5,GEMIN2,0.14615,-0.53285
grna,day 13,RBBP6,-2.883,-1.4561
grna,day 21,INTS5,-0.96383,0.33884
grna,day 5,PUS10,0.26615,-0.87977
total,day 5,AUH,-0.12932,-0.4407
grna,day 13,RPL36,-2.6328,-1.2128
total,day 13,CHCHD1,-2.0697,-1.3834
grna,day 21,TNPO3,-2.3235,-0.21241
total,day 21,RNPC3,-1.8677,-2.5144
grna,day 5,SNRPB,-1.3842,-0.69806
total,day 5,CRNKL1,-0.3421,-0.53405
total,day 13,POLR2I,-3.6572,-3.1608
grna,day 5,SURF6,-0.22572,-1.5064
grna,day 13,BRF2,-0.592,-1.7399
grna,day 21,UTP14A,-1.3455,-0.11118
grna,day 5,PRPF4B,-0.6127,-0.16058
total,day 5,ERI2,0.028972,-0.24491
total,day 13,AATF,-2.5928,-3.0884
grna,day 21,MRPL55,-0.63137,-1.639
total,day 21,HSPA9,-3.1759,-3.1092
grna,day 5,STAU2,0.46376,-0.19348
total,day 5,PEF1,-0.11853,-0.7037
total,day 13,RPL37A,-2.9477,-2.348
grna,day 21,BYSL,-1.0817,0.22904
total,day 21,TSR1,-1.8004,-0.87733
total,day 5,DIMT1,-0.65828,-0.75155
grna,day 13,HNRNPC,-1.2084,-0.71702
total,day 13,RARS2,-1.4455,-1.7844
total,day 21,SARS1,-2.6924,-1.682
grna,day 5,IGF2BP2,-0.7498,0.099472
total,day 5,USP36,-0.1307,-0.63169
grna,day 21,ABCF1,-1.5622,-0.93522
total,day 21,METAP2,-2.898,-1.8853
grna,day 5,PSMD4,-0.7006,-0.82828
total,day 5,XPO6,-0.052472,-0.42464
total,day 21,DDX42,-3.2203,-2.852
grna,day 5,KNOP1,-0.45964,-1.0911
total,day 5,PGRMC1,-0.36677,0.52673
grna,day 21,UBE2M,-1.3006,-1.9379
total,day 21,RPL11,-2.6242,-2.3433
grna,day 5,IQCG,-0.32535,-0.54602
total,day 5,PPARGC1A,-0.41662,0.50832
grna,day 13,WARS1,-0.32534,-1.8114
grna,day 21,CDK11B,-1.3882,-0.013474
total,day 21,INTS11,-3.2159,-3.1364
grna,day 5,PABPC1L,-0.091131,-0.66859
total,day 5,ZC3H15,-0.42908,0.29635
grna,day 13,PRORP,-0.43297,-1.6535
total,day 13,RPP30,-3.4438,-2.2469
total,day 21,RPL10,-1.8448,-2.8557
grna,day 5,DDX56,0.17106,-1.5064
total,day 5,DIS3,-0.092307,-0.30297
grna,day 21,SARS1,-1.0067,0.22384
total,day 5,NOP16,-0.41913,-0.08962
grna,day 13,IPO5,0.37836,-1.3941
total,day 13,UTP11,-2.739,-3.5281
grna,day 21,PPP1R8,-2.2644,0.41651
total,day 21,PPWD1,-3.7652,-3.031
grna,day 5,NSFL1C,-0.52931,0.18073
total,day 5,FDXACB1,-0.50645,0.37454
grna,day 13,HEATR1,-0.92186,-1.7876
total,day 13,MRPL52,-1.8922,-2.0908
grna,day 21,SPEN,-1.5412,-1.6531
grna,day 5,ANK3,-0.11221,0.59613
total,day 13,XRCC6,-3.3095,-2.7123
total,day 21,UTP18,-2.1129,-2.4554
grna,day 5,PSMB3,-0.73988,-1.099
total,day 5,PTMA,-0.38755,-0.020387
grna,day 21,SHQ1,-1.2892,-0.56096
total,day 21,EIF2B2,-1.1386,-2.86
grna,day 5,TCP1,-1.0966,-0.22793
grna,day 13,SUPT5H,-2.1707,-1.851
grna,day 21,EXOSC10,0.5885,-1.6884
grna,day 5,RBM8A,-0.11447,-0.086213
total,day 5,CALD1,0.21242,-0.071418
grna,day 21,RPP38,-0.62041,-1.2857
total,day 21,MRPL12,-1.7925,0.12159
grna,day 5,SART1,0.43974,-0.8633
grna,day 21,HUWE1,-1.5792,-0.76193
total,day 21,RPS3A,-3.1409,-2.7939
grna,day 5,HENMT1,-0.060594,-0.51916
total,day 5,FAM32A,-0.43997000000000003,-0.70861
total,day 13,HNRNPU,-2.654,-0.5664
grna,day 21,MRPL45,0.68064,-1.589
total,day 21,SURF6,-1.3365,-2.4954
grna,day 5,KHDRBS1,0.28148,-0.46466
total,day 5,KAT8,-0.3965,0.024072
total,day 13,NCBP2,-3.5323,-2.2736
grna,day 21,DDX47,0.047517,-1.6099
total,day 21,MRPS27,-1.8537,-2.569
grna,day 5,GRPEL2,0.51334,-0.89421
total,day 5,MRPL38,-0.47123,-0.017425
total,day 13,SRP9,-2.4508,-1.6669
total,day 21,CWC15,-2.0974,-3.0956
grna,day 5,GPATCH1,-0.46098,-1.0063
total,day 5,EIF2B1,0.2864,-0.47292
grna,day 13,NOP10,0.20575,-1.3615
total,day 13,LSM3,-1.4306,-1.367
grna,day 5,LSM12,1.0131,0.31611
total,day 5,H4C15,-0.49114,-0.27949
grna,day 13,RPL34,-1.0522,-1.3949
total,day 13,DHX8,-4.3781,-4.5358
total,day 21,RPL3,-3.7068,-3.3903
grna,day 5,HSPA5,-0.12705,-0.77736
total,day 5,EIF2AK3,-0.0047011,-0.35449
total,day 21,SYMPK,-2.1854,-1.8904
grna,day 5,METTL14,-0.052389,-0.71457
total,day 5,RNGTT,-0.10619,-1.0519
grna,day 21,RACK1,-1.9887,-0.71103
total,day 21,UBTF,-3.2413,-3.1925
grna,day 5,QTRT2,-1.1011,-0.12375
total,day 5,COL14A1,0.073156,-0.46212
grna,day 13,MANF,-2.4579,0.68818
total,day 13,THG1L,-3.888,-1.3479
grna,day 21,ILF3,0.70989,-1.3023
grna,day 5,NAA50,-0.3085,0.02862
total,day 5,ELP1,-0.55361,-0.1731
total,day 21,PSMD11,-3.7344,-1.4696
grna,day 5,EZH1,-0.55589,0.51692
grna,day 13,NARS1,-0.72038,-0.28955
total,day 13,TBL3,-1.8484,-1.9061
total,day 5,BUD23,-0.41935,-0.10509
grna,day 21,MRPS18B,-1.4068,-1.4629
total,day 21,DHX30,-2.8244,-3.1837
total,day 5,GAR1,-0.96649,-0.23177
total,day 13,VIRMA,-2.1075,-1.6291
total,day 21,RPL27A,-3.2114,-0.26896
grna,day 5,EXOG,-0.11397,-0.99988
grna,day 13,SLBP,-1.4956,-0.1826
total,day 21,POLR2J,-3.7106,-3.3698
grna,day 5,SFSWAP,-0.29784,-0.23769
total,day 5,GPATCH4,0.17225,-0.48808
grna,day 13,EIF3CL,-1.9843,-2.2443
total,day 13,SRP68,-0.53871,-2.7383
total,day 21,CSTF3,-3.6168,-1.76
grna,day 5,SUPT6H,-0.41534,-0.83935
total,day 5,CNOT1,0.18817,-0.47413
grna,day 21,GNL2,-1.0587,-1.2377
total,day 21,BTF3,-2.4688,-3.2989
grna,day 5,RPL26L1,-0.70615000000000006,-0.07261
total,day 5,NSF,-0.61243,-0.039113
grna,day 13,RARS2,-1.5327,-1.5043
total,day 13,QRSL1,-1.1131,-1.9462
grna,day 21,UTP11,-1.0791,-1.5835
grna,day 5,RPL15,0.20434,-0.35062
total,day 5,SMG9,-0.21163,-0.26299
grna,day 21,XRN1,-1.927,-0.060444
grna,day 5,MRPL39,-0.38769,-0.55527
total,day 5,XPO4,-0.75927,0.0027093
grna,day 13,PRPF6,-0.60327,-1.7321
total,day 13,MRPS16,-2.7311,-1.8689
grna,day 21,DNAJC17,-2.2915,0.19628
total,day 21,MEPCE,-2.2134,-1.5184
grna,day 5,RPL41,-0.41986,1.9536
total,day 5,PCBP1,-0.40845,-0.3253
grna,day 5,JAKMIP1,1.2803,-0.43546
grna,day 13,RPL10,-2.4566,-1.3239
grna,day 21,MRPS34,-1.5508,-0.5716
total,day 21,ISCU,-3.2608,-2.2471
grna,day 5,PTPN12,-1.0469,0.52423
total,day 5,ALDOC,-0.04032,-0.56097
grna,day 13,FEN1,-0.3466,-1.0306
total,day 21,RRP7A,-0.19663,-2.002
grna,day 5,REPIN1,-0.26732,-1.0081
total,day 5,MRPL13,-0.68584,-0.25605
grna,day 13,PEF1,-0.71068,-0.37554
grna,day 21,URB2,0.072217,-1.0754
grna,day 5,RPF2,-0.53872,0.033662
total,day 5,WDR12,-0.51207,-0.063891
grna,day 13,LSM7,-2.4488,-1.1299
total,day 13,NACA,-3.4041,-3.0286
grna,day 21,MYEF2,1.4122,-2.3127
total,day 21,YTHDF2,-1.4882,-1.3244
grna,day 5,CTU2,0.33678,0.23996
total,day 5,APOBEC1,-0.33723,0.39489
total,day 13,NAA50,-1.9248,-2.2074
grna,day 5,RPL31,-0.7873,-0.19348
total,day 5,RBMX,-0.52894,-0.12344
grna,day 13,SFSWAP,-1.4268,-0.76815
grna,day 21,CNBP,-1.6238,0.2564
total,day 21,EIF2B1,-2.5464,-3.4043
total,day 5,SMC1A,-0.011676,0.30661
grna,day 13,DHX16,-1.9375,-0.68722
grna,day 21,SNRNP200,-1.4305,-0.30796
total,day 21,TBCA,-1.9869,-1.8975
grna,day 5,CPNE3,-0.38634,-0.40221
total,day 5,MTO1,0.17208,-0.20096
grna,day 13,RARS1,-0.19583,-0.59164
total,day 13,RNF113A,-2.1516,-2.9927
grna,day 21,SERBP1,-1.1109,-2.307
grna,day 5,ZMAT3,0.49295,-0.88367
grna,day 21,METAP2,-1.4289,-0.3415
total,day 5,DNAJC17,-0.45937,-0.15707
grna,day 13,DAZ4,-0.68093,-0.60881
total,day 13,CHERP,-1.4579,-0.48136
grna,day 21,RFC4,-0.69186,-0.47456
grna,day 5,RNASE13,0.38188,-1.4813
grna,day 13,CPSF6,-0.85864,-1.3174
grna,day 21,SYNCRIP,-1.1802,0.22628
total,day 21,THOC5,-2.5103,-2
total,day 5,BLTP2,0.59251,-0.3972
grna,day 13,EXOSC3,-0.76576,0.25339
total,day 5,OAS2,0.66046,-0.4918
grna,day 13,COPZ1,-0.94349,-1.5159
total,day 13,WARS1,-2.4736,-2.1788
grna,day 21,NKAP,-1.7686,-0.67608
grna,day 5,RNASE9,1.017,-0.68906
total,day 5,C1ORF52,0.183,0.092957
grna,day 13,PSMC4,-1.3771,-1.443
total,day 13,ZMAT2,-3.2469,-0.99316
grna,day 21,HEATR1,-0.27495000000000003,-1.6259
grna,day 5,CCT7,0.25619,-0.6446
total,day 5,MRPL57,-0.51024,-0.060159
grna,day 13,IPO11,-1.7559,-1.1103
total,day 13,DDX47,-3.1002,-3.26
total,day 21,PRPF3,-0.9357,-2.2202
grna,day 5,MRPL21,-0.36722,-0.15567
total,day 5,RBM12,-0.26316,-0.22203
grna,day 13,SRBD1,-2.4253,-0.44701
total,day 13,EXOSC7,-1.8726,-2.3467
grna,day 21,MTIF2,-1.6893,-0.21023
grna,day 5,DAP3,0.59993,0.77186
grna,day 13,MRPS17,-1.72,-1.7463
total,day 13,MRPL19,-1.6073,-3.0503
grna,day 21,GOLGA4,-0.78507,0.60558
total,day 21,EIF3CL,-2.4726,-2.461
grna,day 5,YWHAE,0.47376,-0.76774
total,day 5,RBM6,-0.40417,-0.42176
grna,day 13,HNRNPH1,-1.8831,-1.0852
grna,day 21,LAS1L,0.64913,-1.5106
total,day 21,RPL39,-3.3131,-2.8859
grna,day 13,LDHB,0.13719,-1.0905
total,day 13,STX18,-2.5484,-3.4291
grna,day 21,NOP14,-1.506,-0.92144
total,day 21,C9ORF114,-2.6996000000000002,-2.6748
grna,day 5,SUPT16H,-0.87398,0.7359
total,day 5,ASS1,-0.35882,-0.18156
grna,day 13,NAA50,-2.4173,-1.0037
grna,day 5,NOLC1,0.75867,-0.95719
total,day 5,RACK1,-0.25741000000000003,-0.4594
grna,day 13,CACTIN,-1.9424,-1.51
total,day 21,RPL12,-3.829,-2.2469
total,day 5,SUGP2,-0.20895,-0.6482
total,day 21,YARS2,-3.1333,-2.4278
grna,day 5,LRPPRC,-0.63863,-0.051635
grna,day 13,ELP4,-0.99902,-1.8709
total,day 13,WDR36,-2.1268,-3.2529
grna,day 21,PRIM1,-1.0393,-0.23206
grna,day 5,DNAJB12,0.46523,0.14613
total,day 5,TSR3,-0.53034,0.20537
total,day 13,TPR,-3.161,-1.2531
grna,day 5,GEMIN6,-0.67672,-0.24662
total,day 5,U2SURP,-0.34419,-0.04006
grna,day 13,RNF113A,-0.69677,-1.05
total,day 21,COPG1,-1.1212,-1.4349
total,day 5,SRSF10,-0.381,-0.09705
total,day 13,ELP5,-3.7747,-1.7066
grna,day 5,CSTF2T,-0.62553,-1.0226
total,day 5,IFIH1,0.23644,-0.41674
grna,day 13,TARS1,-1.4272,-1.4114
total,day 13,TRMT61A,-0.14271,-1.0082
total,day 21,GEMIN5,-1.9315,-1.7959
grna,day 5,MTO1,-0.60759,-0.64579
total,day 5,MRPS21,-0.7843,-0.13773
grna,day 13,LDHA,0.91095,0.59869000000000006
total,day 13,ZNHIT6,-2.7276,-1.6094
grna,day 21,EIF4E,-1.4613,-2.2897
total,day 21,PHF5A,-3.1466,-1.9887
grna,day 5,SF3B4,0.55609,-1.3805
total,day 5,PHAX,-0.027137,-0.48356
grna,day 13,HNRNPA1L2,-1.7106,-1.8726
grna,day 21,AFF1,-2.2897,1.2442
grna,day 5,CWC22,0.010515,1.1332
total,day 5,DDX51,-0.16624,-0.65702
grna,day 13,DDX46,-1.1682,-0.65032
grna,day 5,PTCD2,-0.67678,0.060807
grna,day 13,MRPS5,-1.3161,-0.87959
grna,day 21,SRSF4,-1.5937,0.85073
total,day 21,SRPRA,-3.2888,-0.63913
grna,day 5,RPS5,-0.44056,0.050651
total,day 5,SUMO2,-0.70576,-0.13407
grna,day 13,RAN,-1.2567,-1.5894
total,day 13,RPS9,-2.1979,-2.6098
grna,day 21,RPS11,-1.1151,-1.0913
total,day 5,SMN2,-0.51436,0.16127
total,day 13,MRPL30,-2.0983,-0.90939
grna,day 21,MRPL37,-2.1946,0.31965
grna,day 13,PHGDH,-1.4395,0.22537
total,day 13,DIS3,-2.9953,-2.5207
grna,day 21,ZC3H13,-0.74385,-1.3101
total,day 21,HNRNPU,-1.7814,-1.788
grna,day 5,NXF2,0.26447,0.13784
total,day 5,CNOT3,0.077797,-0.35497
grna,day 13,GARS1,-1.2572,-1.5757
grna,day 21,ERP29,2.0536,-0.98407
grna,day 5,RBFOX3,0.78811,-0.63919
total,day 5,SAP18,0.013229,-0.66677
total,day 13,MRPL23,-2.1418,-1.644
grna,day 21,PUM1,-0.37364000000000003,-0.64025
total,day 21,DDX47,-3.0637,-2.5937
total,day 5,FADS2,-0.2714,0.36912
grna,day 13,GNL2,-0.26834,-1.551
total,day 13,MRPS25,-2.1046,-1.5207
grna,day 21,SAFB2,-0.47601,1.2162
total,day 5,PRDX1,-0.42122,0.26
total,day 13,EIF5B,-1.617,0.4411
total,day 21,TOE1,-3.5353,-0.28638
grna,day 5,FASTKD5,0.11604,-0.4125
total,day 5,STK10,0.16769,-0.55155
grna,day 13,POP7,-1.5364,-1.8631
total,day 13,PTCD3,-1.2674,-2.2237
grna,day 21,RNASEK,-0.10362,-1.5423
total,day 21,INTS7,-1.7395,-2.9596
grna,day 5,TNPO1,1.1441,-1.2922
total,day 5,PABPC1L2B,-0.085481,-0.53265
grna,day 13,QRSL1,-1.1429,-1.4321
total,day 21,PRPF18,-3.4228,-1.6337
grna,day 5,NOS1,-0.82374,0.49609
total,day 5,CEP43,-0.62068,0.32842
grna,day 13,SNRNP70,-0.77075,-1.2657
total,day 13,TMA16,-2.924,-2.792
total,day 5,PHF3,0.71411,-0.48167
grna,day 13,SAP30BP,-1.9386,-1.5137
total,day 21,SEPTIN7,0.16828,-0.82337
grna,day 5,DZIP3,-0.62253,0.40855
total,day 5,PRPF40B,-0.4131,-0.17862
grna,day 21,KPNB1,-1.8434,-0.84693
total,day 21,MRPS6,-1.5189,-3.4466
grna,day 5,CFAP20,0.95989,0.050098
total,day 5,ZC3H8,-0.22198,0.19581
grna,day 13,PELO,-2.2951,-0.063255
grna,day 21,SF3B4,-3.1421,-2.0018
total,day 21,DLD,0.15769,-1.1423
grna,day 5,EIF3C,-0.34712,-1.1061
total,day 5,ELAPOR1,-0.44971,-0.21169
grna,day 13,USO1,-0.71725,-2.044
total,day 13,MRPL39,-1.1807,-2.2195
grna,day 21,CAND1,-1.5744,-1.0588
grna,day 5,FEN1,-0.44576,-0.23662
total,day 5,BRF2,0.10396,-0.47571
grna,day 13,TSFM,-0.95847,-0.99741
grna,day 21,ATP5F1A,-0.97486,-1.7509
total,day 21,SUPT16H,-1.3168,-3.1648
grna,day 5,RPS11,-0.48295,-0.75801
grna,day 13,NOLC1,-0.1101,-1.0161
grna,day 21,RPL13,-0.79489,-1.5094
total,day 21,BRIX1,-1.5864,-2.715
grna,day 5,ENDOV,-0.03976,0.6905
total,day 13,CPSF6,-1.8993,-2.1879
grna,day 5,GSTP1,-0.55493,0.57914
total,day 5,ALKBH5,-0.73725,0.5259
grna,day 13,RANBP2,-0.78301,-1.1271
total,day 21,PSMB1,-2.575,-0.44432
total,day 5,R3HDM2,-0.4483,0.4479
total,day 13,NOL12,-0.44032,-1.9828
grna,day 21,NOL10,-1.3439,-2.2125
grna,day 5,TMPO,-0.095106,-1.0146
total,day 5,EXOG,0.0048129,0.32718
grna,day 13,PPP1CC,0.092382,-0.43199
total,day 13,PSMA3,-2.9164,-2.5408
grna,day 21,RPS5,-3.126,0.41269
total,day 21,MRPL37,-2.2079,-2.1973
grna,day 5,MVP,0.19665,-0.67308
total,day 5,UTP14A,-0.26258,-0.51475
grna,day 13,ZC3H13,-0.40148,-1.7401
total,day 13,GEMIN8,-2.1725,-3.0841
grna,day 21,CNOT3,-1.7469,-1.3933
grna,day 5,SPATS2,0.30007,-0.76538
total,day 5,SEC61A1,-0.47222,-0.14324
grna,day 13,COA6,-0.84471,-0.92608
grna,day 5,CSTB,-0.18602,-1.0081
total,day 5,NUP153,-0.41248,-0.4378
grna,day 13,MTG1,-1.4619,-0.0030258
total,day 13,MRPL34,-2.6562,-3.7169
grna,day 21,GEMIN5,-0.79386,-0.6153
grna,day 13,RPUSD3,0.12804,-0.88552
total,day 21,INTS10,-2.8881,-0.71188
grna,day 5,TUBB,-0.10695,0.92072
total,day 5,TAF2,-0.10398,-0.58534
total,day 13,MTFMT,-0.77172,-1.6826
total,day 21,PRPF38B,-2.1712,-2.5328
grna,day 5,PPIH,-0.39208,-0.32353
total,day 5,PCNP,0.031242,-0.37174
grna,day 13,IPO13,-0.36937,-1.5786
total,day 13,LSM11,-1.3964,-2.0023
grna,day 21,CDC5L,-0.46702,-1.536
grna,day 5,MECP2,-1.1536,-0.56798
total,day 5,MRPS25,0.061051,0.014066
total,day 21,RPS18,0.24954,-3.5166
total,day 5,MRPL52,-0.30933,-0.066594
total,day 13,PTCD1,-1.531,-1.3103
total,day 21,MRTO4,-0.8784,-2.5506
grna,day 5,RBM12B,-0.40167,1.7689
total,day 5,PPWD1,-0.36766,-0.31336
grna,day 13,SUPT16H,-2.3688,-1.7108
grna,day 21,EIF3M,-0.99253,-0.79489
total,day 5,TRMT44,0.26941,-0.44127
grna,day 13,TRMT5,-0.52476,-1.5043
total,day 13,RPP38,-3.4004,-2.4739
grna,day 21,RPP30,-1.7823,-1.4967
total,day 21,DHX36,-3.0952,-1.3854
grna,day 5,FARSA,-0.6382,-0.57371
total,day 5,SPATS2,-0.41464,0.17048
total,day 13,RPP14,-1.3683,-2.3922
grna,day 21,TRIM71,1.5569,-2.2487
grna,day 5,H4C6,0.32272,-1.4298
total,day 5,GNL3,-0.47467,-0.021811
total,day 13,RBBP6,-2.6087,-1.9855
grna,day 5,SAFB2,-0.42428,0.76082
total,day 5,CCNT2,0.23715,-0.39955
grna,day 13,SF3B1,-1.3626,-1.2286
grna,day 21,TBL3,-2.2404,-1.2986
grna,day 5,PSMA3,0.99366,-1.0652
grna,day 13,HSPA9,-0.89858,-1.8
grna,day 21,DHX36,-1.9246,-1.4294
grna,day 5,GTPBP1,-0.02479,-0.8316
grna,day 13,COPG1,-0.31653,-1.5771
grna,day 21,SRP14,-2.2427,-1.3347
grna,day 5,TARS3,-0.93252,0.39288
total,day 5,CDC40,-0.57701,-0.04685
grna,day 13,HUWE1,-0.54636,-1.346
total,day 13,ZCCHC9,-2.9654,-1.4252
grna,day 21,RINT1,-1.0329,-1.7406
grna,day 5,CLASP2,-0.79917,0.34302
total,day 5,NSFL1C,-0.51786,0.40625
total,day 13,WDR46,-2.7181,-2.7855
grna,day 21,DHX33,-0.44403,-1.6734
total,day 21,MRPL23,-2.3414,-3.4757
grna,day 5,BRF2,-0.38159,0.043404
total,day 5,TRA2B,-0.13942,-0.34825
total,day 13,MRM2,-1.1208,-0.9976
grna,day 21,XPO5,-1.4044,-0.51758
total,day 21,RFC4,-2.8711,-2.0039
grna,day 5,GCFC2,0.25922,0.15657
total,day 21,CHERP,-1.3636,-0.80339
grna,day 5,EIF2AK3,-0.67175,-0.094213
total,day 5,LSM5,-0.36996,-0.34597
grna,day 21,RPS17,-0.85864,-1.0207
total,day 21,DDX46,-2.6181,-2.07
grna,day 13,ALG13,1.0492,-0.95036
grna,day 21,CPSF7,-1.6701,0.62001
total,day 21,ZRSR2,-0.50808,-1.2386
grna,day 5,EIF3D,-0.32417,-0.25684
total,day 5,RPF2,-0.40281,0.17341
grna,day 13,GTF2E2,0.37,-1.4426
grna,day 5,MRPS27,-0.9529,0.0032224
total,day 5,ALDH7A1,-0.16311,-0.0373
grna,day 21,SF3A3,-1.3985,-0.62028
grna,day 5,ARPC1B,-0.049452,-0.74067
total,day 5,SUZ12,-0.33026,-0.62583
grna,day 13,EWSR1,-0.11079,-1.7704
total,day 21,HMGB3,-1.6052,0.78646
total,day 5,PRRC2A,-0.42862,-0.1209
grna,day 13,GNL3,0.37,-1.8988
grna,day 21,WARS1,-0.83249,-1.2393
grna,day 5,SAFB,-0.57078,-0.42161
total,day 5,SETD1B,0.40729,-0.019158
grna,day 13,THOC7,0.0316,-0.83903
total,day 13,CIAO1,-2.3023,-1.4811
total,day 21,RPLP1,-2.8563,-2.6459
grna,day 5,ENDOG,-0.66037,-0.46943
total,day 5,NUDT12,-0.61129,-0.19547
total,day 13,SRRT,-2.8664,-2.1776
grna,day 21,NOP10,-0.16552,-1.2169
total,day 21,DHX16,-2.1645,-3.001
grna,day 5,CPSF4,0.10852,0.72922
total,day 5,RRP36,-0.072358,0.30976
total,day 21,THOC2,-2.2001,-3.3568
grna,day 5,FAM50A,0.053598,-0.39552
total,day 5,NOL8,-0.27439,-0.11512
total,day 13,TEFM,-1.6026,-1.5585
total,day 21,UBE2L3,-2.2214,-1.7545
grna,day 5,RSL24D1,-0.71889,-0.18104
total,day 5,UPF3B,-0.3971,0.33945
grna,day 13,TRIM71,1.3605,-1.771
grna,day 21,RPL35,-1.4071,-2.2247
grna,day 5,CORO1A,-0.069685,0.47644
total,day 5,PABPC1,-0.20155,-0.3139
total,day 13,EIF3B,-2.3913,-3.5085
grna,day 21,GARS1,-1.4872,-1.498
grna,day 5,RUVBL1,-0.40657,-0.26378
total,day 5,DCN,-0.57827,-0.0069122
total,day 13,COPG1,-0.25448,-1.7432
grna,day 21,SMAD7,-0.94503,1.326
grna,day 5,LUC7L,0.45783,-0.64601
total,day 5,PHRF1,-0.27618,-0.50319
grna,day 13,RPL27A,-0.8092,-1.5192
grna,day 5,DDX41,0.12234,0.98109
total,day 5,RFC4,0.17496,0.10185
total,day 13,MOCS3,-0.10667,-0.99957
grna,day 21,WDR75,-0.76193,-0.71093
total,day 21,ASS1,-1.0925,0.07735
grna,day 5,DCTN2,-0.76386,-0.24288
total,day 5,KHDRBS1,-0.46397,-0.25785
grna,day 5,ADARB2,0.56065,-0.84711
total,day 5,DDX28,-0.64198,-1.1982
grna,day 13,EDC4,-1.1362,0.4354
total,day 21,TXN,-1.3422,-3.1336
grna,day 5,SRSF11,-0.95307,-1.0888
total,day 5,STRAP,0.0041659,-0.036178
total,day 13,SFSWAP,-1.7729,-2.0136
grna,day 5,MRPS18B,-0.89188,0.56424
grna,day 13,PTCD1,-0.89664,-0.25496
total,day 13,UTP14A,-2.6285,-2.1164
total,day 21,GFM1,-3.8113,-3.199
grna,day 5,DDX3Y,-0.19765,-0.8853
total,day 5,DNAJA1,-0.45116,-0.68206
grna,day 13,ZFR,-0.31099,0.1095
grna,day 21,SRP54,-1.8337,-1.523
grna,day 5,SNRPD1,-1.0302,-0.31961
total,day 5,SYNCRIP,-0.0062655,-0.53631
total,day 13,DNAJC17,-3.0272,-3.1956
total,day 21,THG1L,-2.7892,-3.9942
total,day 5,ENDOV,-0.7476,0.24367
grna,day 13,SRP14,-0.74362,-1.7932
total,day 13,DDX24,-1.599,-1.2871
grna,day 5,LARP1B,-0.48969,-0.44475
total,day 5,YTHDF3,-0.09967,-0.32818
grna,day 13,UTP15,-0.12968,-0.87706
grna,day 21,ZNF207,0.98896,-2.2125
grna,day 13,DDX27,-1.5857,-1.7002
grna,day 21,HNRNPK,-1.505,-1.6423
total,day 5,LSM12,0.020781,-0.22538
grna,day 21,RARS2,-1.5769,-0.91969
grna,day 5,CTTN,-0.49788,0.21382
total,day 5,RBMX2,-0.012893,-0.49899
grna,day 13,PTCD3,-0.13432,-0.84526
total,day 13,MRPS10,-0.90602,-2.5047
grna,day 21,DHX30,-2.1879,0.40647
total,day 21,PPP1R8,-2.3342,1.5741
grna,day 5,KAT8,-1.4033,0.16234
total,day 5,ATP2A2,-0.29037,0.021723
grna,day 13,RPS26,-1.7933,-1.4351
total,day 13,TSFM,-1.3697,-0.57809
grna,day 21,MRPL17,-1.0619,-1.1591
total,day 21,CHCHD1,-3.2457,-2.3985
grna,day 5,EIF2AK2,-0.74812,-0.2073
grna,day 13,SF3A3,-0.4593,-0.40094
grna,day 5,MRPL30,0.10271,-0.67435
total,day 5,ARHGEF28,0.029149,-0.51699
grna,day 13,PDE12,-1.5525,0.82129
total,day 13,ALYREF,-0.035235,-2.0822
grna,day 5,RPS9,-0.52687,-1.2631
total,day 13,SART3,-2.8846,-2.6741
total,day 21,PWP2,-1.4191,-3.1012
