sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AKAP17A,4,0.61725,0.6886,NA,1372,1,0.0044839,0.015701,0.192498,37,3,1.1736,0.015701,0.192498,3,NTC,Other,10,45
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AKAP17A,4,0.34631,0.49905,NA,991,2,0.86068,0.86141,NA,1756,1,-0.18284,0.49905,1,2,PTC,Other,10,45
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AKAP8,4,2.8764e-4,0.0011799,0.026298,19,4,0.99971,0.99973,NA,2173,0,-1.5118,0.0011799,0.026298,4,NTC,Other,10,46
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AKAP8,4,0.6721,0.72354,NA,1444,1,0.95396,0.9543,NA,1991,0,-0.16099,0.72354,1,1,PTC,Other,10,46
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AKAP8L,4,0.1258,0.25895,0.288557,571,3,0.96915,0.96943,NA,2037,0,-0.77811,0.25895,0.288557,3,NTC,Other,10,47
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AKAP8L,4,0.08898,0.19602,0.265913,457,3,0.97422,0.97424,NA,2055,0,-0.55705,0.19602,0.265913,3,PTC,Other,10,47
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ALDH18A1,4,0.34157,0.49006,NA,996,1,0.0052729,0.018328,NA,44,2,1.1103,0.018328,1,2,NTC,Other,10,48
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ALDH18A1,4,0.25604,0.40886,NA,838,2,0.033028,0.093083,NA,259,2,-0.062032,0.40886,1,2,PTC,Other,10,48
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ALDH6A1,4,0.939,0.93917,NA,1994,0,0.1178,0.2465,NA,576,1,0.25189,0.2465,1,1,NTC,Other,10,49
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ALDH6A1,4,0.35343,0.50582,NA,1003,2,0.33372,0.4898,NA,939,2,-0.050915,0.50582,1,2,PTC,Other,10,49
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ALDH7A1,3,0.60951,0.63324,NA,1362,1,0.75152,0.75399,NA,1585,1,-0.14204,0.63324,1,1,NTC,Other,10,50
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ALDH7A1,3,0.19516,0.30818,NA,739,2,0.85346,0.85314,NA,1736,0,-0.41852,0.30818,1,2,PTC,Other,10,50
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ALDOA,4,0.51761,0.64337,NA,1272,1,0.07909,0.1804,NA,443,2,0.34918,0.1804,1,2,NTC,Other,10,51
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ALDOA,4,0.067787,0.15704,0.241595,383,3,0.54449,0.67276,NA,1295,1,-0.58708,0.15704,0.241595,3,PTC,Other,10,51
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ALDOC,4,0.081373,0.1827,0.251852,425,3,0.19721,0.35869,NA,791,1,-0.70016,0.1827,0.251852,3,NTC,Other,10,52
